source_id,source_id_dr2,source_id_dr3,HD Number,GJ Number,HIP Number,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,Distance [pc],T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Yearly_Observable_nights,K_σ_RV_total [m/s],HZ Detection Limit [M_Earth],K_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_p-mode [m/s],σ_granulation [m/s],σ_supergranulation [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 2635543704085589504,2635543704085589504,2635543704085589504,HD 217877,,113896,345.9900666700243,-4.794693616037545,6.56043529510498,6.56043529510498,6.846012592315674,6.100542545318604,0.7454700469970703,32.82002615771044,30.46920179754546,5959.5,1.069198966026306,1.607021570205688,1.173384189605713,1.249870032295929,493.527413038765,224,0.1039207810795207,1.34360029438753,0.06369572947543625,0.8235273059479528,0.317220036095517,0.7774368903951117,0.3888262381580047,0.9364523813895491,0.5175504574106942,0.6618168704722059,,-4.85284750318,2.159101925537084,HD_number_match,,PM*,GAIA,G0-V,G0V,0,0,0,0,0.0
Gaia DR3 2821292758941963776,2821292758941963776,2821292758941963776,HD 221914,,116478,354.0281916282674,18.44360206815108,7.468740940093994,7.468740940093994,7.813488960266113,6.948282241821289,0.8652067184448242,28.93435127718658,34.56099604308235,5477.544921875,0.9375131726264954,0.9048758745193481,0.9994732141494751,0.9562653955944437,352.7136229486888,162,0.1269656241775102,1.344528637459736,0.09302658596143323,0.9851241994083948,0.394198984779646,0.6001263361807433,0.3470821706676983,0.8359156182447268,0.5380152311881905,0.9389963409983191,4.3649001121521,,,Not found,G,SB*,GAIA,G6,G6,0,0,0,0,0.0
Gaia DR3 4237555510387302400,4237555510387302400,4237555510387302400,HD 190412,,98878,301.1941859379634,1.155912072708835,7.49653434753418,7.49653434753418,7.863972187042236,6.93360710144043,0.9303650856018066,29.34039815995665,34.08270039650606,5528.0,0.9383084774017334,1.168276429176331,1.243124008178711,1.08436139402141,425.7273128499228,213,0.1192390456934869,1.345192169585248,0.08413345338533341,0.9491493498282662,0.4086983463072678,0.6799803488399196,0.3922394784120027,0.944672857917196,0.5792321464208456,0.4884299405844287,,-4.82480914363,2.403348892297846,HD_number_match,G,SB*,GAIA,G6/8V,G6/8V,0,0,0,0,0.0
Gaia DR3 3136707116983005056,3136707116983005056,3136707116983005056,HD  59062,,36310,112.1066051974751,4.153014769663007,7.963212013244629,7.963212013244629,8.32865047454834,7.427772998809814,0.9008774757385254,22.45111297774395,44.54122167534909,5436.69384765625,0.8906383514404297,0.9491591453552246,1.086201667785645,0.9809942768385043,376.0038373825447,212,0.1289547713838425,1.348116251610949,0.1001658011385889,1.047151205972992,0.4855192167560168,0.6254121044956265,0.375585519597208,0.9045633234743568,0.6250638330402561,0.69497630279734,4.373600006103516,-5.15515675603,0.6798917713487866,HD_number_match,G,PM*,GAIA,G8IV,G8IV,0,0,0,0,0.0
Gaia DR3 2631283474485026176,2631283474485026176,2631283474485026176,HD 218730,,114424,347.6036088830778,-7.812598695240095,7.188619613647461,7.188619613647461,7.483239650726318,6.72310733795166,0.7601323127746582,27.23482347989534,36.71769713279753,5837.0849609375,1.054721236228943,1.289781332015991,1.053123354911804,1.125228400919136,424.4587057735981,225,0.1107173672843501,1.348996843502481,0.0809628384369748,0.986463245752398,0.4042251872663933,0.6971143296342187,0.3568046440630869,0.8593313049207078,0.5527813672070998,0.9030253829173296,4.284999847412109,-4.78501052994,2.798224277972463,HD_number_match,F,PM*,GAIA,G0V,G0V,0,0,0,0,0.0
Gaia DR2 6884240252254370304,6884240252254370304,,HD 201796,,104687,318.0945338639177,-15.00027014233735,7.984183311462402,7.984183311462402,8.326811790466309,7.516062259674072,0.8107495307922363,21.6567940401668,46.1748861879234,5681.77685546875,0.9503354430198669,1.00190269947052,1.033005714416504,0.9979672450599545,373.4902167329665,258,0.1238777905674791,1.34926126662003,0.1023552145594868,1.114840083997702,0.547321341193402,0.6389120076924749,0.3537544508173831,0.8519851938604842,0.662408444643174,0.8621220536694828,4.393499851226807,,,Not found,G,PM*,GAIA,G3V,G3V,0,0,0,0,0.0
Gaia DR3 2943435512809025408,2943435512809025408,2943435512809025408,HD  44569,,30232,95.40541093266704,-18.16711425014449,7.568717002868652,7.568717002868652,7.879951953887939,7.08258056640625,0.7973713874816895,24.23780136232866,41.25786761971897,5686.2861328125,0.9732633233070374,1.183410167694092,1.093226909637451,1.084406256777529,418.0383318124343,236,0.1174339762152547,1.34930754085625,0.0885652034759142,1.017607516656631,0.4528721912265036,0.6838549176862034,0.3752589754574404,0.903776871822424,0.6004907124444963,0.7449024760397006,4.32889986038208,-4.91976607081,1.671815403924551,HD_number_match,G,PM*,GAIA,G3/5V,G3/5V,0,0,0,0,0.0
Gaia DR3 2981583790287411200,2981583790287411200,2981583790287411200,HD  34721,GJ 198,24786,79.71210885930144,-18.1297805810894,5.815227031707764,5.815227031707764,6.102130889892578,5.360409736633301,0.7417211532592773,40.47848602908938,24.70448127139345,5898.689453125,1.053124904632568,2.115634918212891,1.395134925842285,1.437570866804456,613.4048643005723,257,0.09809484028641641,1.349915962695519,0.04125755832180275,0.5677590829224795,0.219953768774462,0.8855509005947237,0.4552719214893545,1.096480723827214,0.5229667167900264,0.3878209360587991,4.08620023727417,-4.95311930828,1.47170900851183,HD_number_match,F,PM*,GAIA,G0V,G0V,0,0,0,0,0.0
Gaia DR3 3346787986201584896,3346787986201584896,3346787986201584896,HD  39881,GJ 224,28066,89.01601210041528,13.92276893837644,6.46058988571167,6.46058988571167,6.783235549926758,5.962520599365234,0.8207149505615234,36.44736649873669,27.43682455177279,5622.9130859375,0.975906252861023,1.442321062088013,1.206306934356689,1.200239093313284,486.1170623278358,187,0.1116600953784262,1.351580521536676,0.05814424942602333,0.7038023270287024,0.2645865501577538,0.7448093705306729,0.415480207200763,1.000646024549585,0.5081114593121016,0.5559485829866396,4.257800102233887,-4.98326312898,1.311545029512289,HD_number_match,G,PM*,GAIA,G2V,G2V,0,0,0,0,0.0
Gaia DR3 4341501106288171008,4341501106288171008,4341501106288171008,HD 144585,,78955,241.7628416587712,-14.07125450941187,6.16045618057251,6.16045618057251,6.476487159729004,5.673783779144287,0.8027033805847168,36.22494142070575,27.60528963694643,5750.30029296875,1.021782159805298,1.870702981948853,1.339144110679626,1.359890107811724,572.9540938404726,237,0.1025583034162198,1.352097122019199,0.04748271809810677,0.6259975481999398,0.2431473398360215,0.8350189141877781,0.4468965415624468,1.076309388387634,0.5251758882510914,0.4254772744811444,4.191699981689453,-5.00183983252,1.221647408401917,HD_number_match,G,PM*,GAIA,G2V,G2V,0,0,0,0,0.0
